bytes,repetitions,time,bandwidth,name
0,1000,0.41,0.0,infiniband_openmpi_socket
1,1000,0.4,2.52,infiniband_openmpi_socket
2,1000,0.4,5.0,infiniband_openmpi_socket
4,1000,0.4,10.05,infiniband_openmpi_socket
8,1000,0.41,19.52,infiniband_openmpi_socket
16,1000,0.4,40.14,infiniband_openmpi_socket
32,1000,0.57,56.58,infiniband_openmpi_socket
64,1000,0.56,114.86,infiniband_openmpi_socket
128,1000,0.89,144.11,infiniband_openmpi_socket
256,1000,0.92,276.97,infiniband_openmpi_socket
512,1000,1.13,454.05,infiniband_openmpi_socket
1024,1000,1.27,806.92,infiniband_openmpi_socket
2048,1000,2.1,976.02,infiniband_openmpi_socket
4096,1000,3.01,1361.68,infiniband_openmpi_socket
8192,1000,4.78,1715.45,infiniband_openmpi_socket
16384,1000,7.2,2276.87,infiniband_openmpi_socket
32768,1000,13.04,2512.39,infiniband_openmpi_socket
65536,640,24.92,2629.96,infiniband_openmpi_socket
131072,320,47.1,2782.95,infiniband_openmpi_socket
262144,160,14.42,18173.51,infiniband_openmpi_socket
524288,80,25.5,20564.08,infiniband_openmpi_socket
1048576,40,52.24,20073.76,infiniband_openmpi_socket
2097152,20,140.92,14881.95,infiniband_openmpi_socket
4194304,10,281.05,14923.95,infiniband_openmpi_socket
8388608,5,606.96,13820.58,infiniband_openmpi_socket
16777216,2,1859.61,9021.91,infiniband_openmpi_socket
33554432,1,5492.1,6109.58,infiniband_openmpi_socket
67108864,1,11788.46,5692.76,infiniband_openmpi_socket
134217728,1,23606.54,5685.62,infiniband_openmpi_socket
268435456,1,47110.0,5698.06,infiniband_openmpi_socket
0,1000,8.09,0.0,gigabit_openmpi_socket
1,1000,8.15,0.12,gigabit_openmpi_socket
2,1000,8.19,0.24,gigabit_openmpi_socket
4,1000,8.16,0.49,gigabit_openmpi_socket
8,1000,8.17,0.98,gigabit_openmpi_socket
16,1000,8.17,1.96,gigabit_openmpi_socket
32,1000,8.17,3.92,gigabit_openmpi_socket
64,1000,8.19,7.81,gigabit_openmpi_socket
128,1000,8.55,14.97,gigabit_openmpi_socket
256,1000,8.56,29.91,gigabit_openmpi_socket
512,1000,8.65,59.18,gigabit_openmpi_socket
1024,1000,9.63,106.32,gigabit_openmpi_socket
2048,1000,9.21,222.43,gigabit_openmpi_socket
4096,1000,10.93,374.78,gigabit_openmpi_socket
8192,1000,11.71,699.35,gigabit_openmpi_socket
16384,1000,15.83,1035.32,gigabit_openmpi_socket
32768,1000,26.17,1252.23,gigabit_openmpi_socket
65536,640,58.1,1127.94,gigabit_openmpi_socket
131072,320,81.26,1612.98,gigabit_openmpi_socket
262144,160,123.72,2118.79,gigabit_openmpi_socket
524288,80,196.71,2665.33,gigabit_openmpi_socket
1048576,40,327.39,3202.87,gigabit_openmpi_socket
2097152,20,622.84,3367.09,gigabit_openmpi_socket
4194304,10,1227.27,3417.59,gigabit_openmpi_socket
8388608,5,2424.85,3459.43,gigabit_openmpi_socket
16777216,2,5036.86,3330.89,gigabit_openmpi_socket
33554432,1,10381.53,3232.13,gigabit_openmpi_socket
67108864,1,20364.3,3295.42,gigabit_openmpi_socket
134217728,1,40467.41,3316.69,gigabit_openmpi_socket
268435456,1,80247.47,3345.1,gigabit_openmpi_socket
0,1000,0.23,0.0,infiniband_intel_node
1,1000,0.24,4.23,infiniband_intel_node
2,1000,0.24,8.34,infiniband_intel_node
4,1000,0.24,16.89,infiniband_intel_node
8,1000,0.24,33.37,infiniband_intel_node
16,1000,0.24,67.29,infiniband_intel_node
32,1000,0.25,130.15,infiniband_intel_node
64,1000,0.25,260.54,infiniband_intel_node
128,1000,0.26,491.85,infiniband_intel_node
256,1000,0.28,913.97,infiniband_intel_node
512,1000,0.41,1239.07,infiniband_intel_node
1024,1000,0.44,2301.43,infiniband_intel_node
2048,1000,0.59,3457.13,infiniband_intel_node
4096,1000,0.85,4828.39,infiniband_intel_node
8192,1000,1.44,5696.35,infiniband_intel_node
16384,1000,2.35,6982.36,infiniband_intel_node
32768,1000,3.54,9250.43,infiniband_intel_node
65536,640,5.72,11454.73,infiniband_intel_node
131072,320,8.6,15246.94,infiniband_intel_node
262144,160,14.96,17527.03,infiniband_intel_node
524288,80,41.67,12581.95,infiniband_intel_node
1048576,40,81.54,12859.68,infiniband_intel_node
2097152,20,153.16,13692.2,infiniband_intel_node
4194304,10,375.7,11163.92,infiniband_intel_node
8388608,5,1110.43,7554.4,infiniband_intel_node
16777216,2,2438.09,6881.31,infiniband_intel_node
33554432,1,5907.32,5680.15,infiniband_intel_node
67108864,1,11764.93,5704.14,infiniband_intel_node
134217728,1,23740.16,5653.61,infiniband_intel_node
268435456,1,49253.71,5450.06,infiniband_intel_node
0,1000,1.21,0.0,infiniband_intel_core
1,1000,1.21,0.83,infiniband_intel_core
2,1000,1.21,1.65,infiniband_intel_core
4,1000,1.21,3.31,infiniband_intel_core
8,1000,1.21,6.61,infiniband_intel_core
16,1000,1.21,13.17,infiniband_intel_core
32,1000,1.24,25.76,infiniband_intel_core
64,1000,1.47,43.43,infiniband_intel_core
128,1000,1.54,83.29,infiniband_intel_core
256,1000,1.81,141.07,infiniband_intel_core
512,1000,1.9,269.53,infiniband_intel_core
1024,1000,2.1,486.59,infiniband_intel_core
2048,1000,2.77,738.81,infiniband_intel_core
4096,1000,3.66,1118.99,infiniband_intel_core
8192,1000,4.68,1749.71,infiniband_intel_core
16384,1000,6.28,2607.06,infiniband_intel_core
32768,1000,10.02,3270.9,infiniband_intel_core
65536,640,12.88,5087.52,infiniband_intel_core
131072,320,21.82,6005.78,infiniband_intel_core
262144,160,33.33,7865.23,infiniband_intel_core
524288,80,57.99,9040.66,infiniband_intel_core
1048576,40,97.27,10780.03,infiniband_intel_core
2097152,20,181.77,11537.61,infiniband_intel_core
4194304,10,353.58,11862.37,infiniband_intel_core
8388608,5,694.86,12072.28,infiniband_intel_core
16777216,2,1378.24,12172.93,infiniband_intel_core
33554432,1,2753.7,12185.2,infiniband_intel_core
67108864,1,5498.29,12205.41,infiniband_intel_core
134217728,1,10966.76,12238.59,infiniband_intel_core
268435456,1,21936.08,12237.17,infiniband_intel_core
0,1000,15.94,0.0,gigabit_openmpi_node
1,1000,15.98,0.06,gigabit_openmpi_node
2,1000,15.98,0.13,gigabit_openmpi_node
4,1000,15.97,0.25,gigabit_openmpi_node
8,1000,15.99,0.5,gigabit_openmpi_node
16,1000,15.99,1.0,gigabit_openmpi_node
32,1000,16.01,2.0,gigabit_openmpi_node
64,1000,16.16,3.96,gigabit_openmpi_node
128,1000,16.64,7.69,gigabit_openmpi_node
256,1000,16.76,15.27,gigabit_openmpi_node
512,1000,17.13,29.88,gigabit_openmpi_node
1024,1000,17.64,58.06,gigabit_openmpi_node
2048,1000,38.74,52.87,gigabit_openmpi_node
4096,1000,39.11,104.74,gigabit_openmpi_node
8192,1000,40.27,203.41,gigabit_openmpi_node
16384,1000,42.45,385.97,gigabit_openmpi_node
32768,1000,51.01,642.4,gigabit_openmpi_node
65536,640,63.8,1027.25,gigabit_openmpi_node
131072,320,115.29,1136.92,gigabit_openmpi_node
262144,160,146.24,1792.51,gigabit_openmpi_node
524288,80,208.86,2510.22,gigabit_openmpi_node
1048576,40,321.03,3266.26,gigabit_openmpi_node
2097152,20,599.22,3499.81,gigabit_openmpi_node
4194304,10,1249.9,3355.72,gigabit_openmpi_node
8388608,5,2638.84,3178.9,gigabit_openmpi_node
16777216,2,5530.57,3033.54,gigabit_openmpi_node
33554432,1,10922.37,3072.08,gigabit_openmpi_node
67108864,1,21940.52,3058.67,gigabit_openmpi_node
134217728,1,43519.47,3084.08,gigabit_openmpi_node
268435456,1,85731.87,3131.1,gigabit_openmpi_node
0,1000,0.21,0.0,infiniband_openmpi_core
1,1000,0.2,5.04,infiniband_openmpi_core
2,1000,0.19,10.49,infiniband_openmpi_core
4,1000,0.19,21.07,infiniband_openmpi_core
8,1000,0.19,42.25,infiniband_openmpi_core
16,1000,0.19,83.5,infiniband_openmpi_core
32,1000,0.22,143.47,infiniband_openmpi_core
64,1000,0.22,289.45,infiniband_openmpi_core
128,1000,0.31,411.94,infiniband_openmpi_core
256,1000,0.33,780.43,infiniband_openmpi_core
512,1000,0.39,1321.46,infiniband_openmpi_core
1024,1000,0.49,2088.36,infiniband_openmpi_core
2048,1000,0.75,2748.92,infiniband_openmpi_core
4096,1000,1.11,3680.78,infiniband_openmpi_core
8192,1000,1.85,4436.37,infiniband_openmpi_core
16384,1000,2.94,5564.0,infiniband_openmpi_core
32768,1000,4.96,6602.6,infiniband_openmpi_core
65536,640,8.44,7767.38,infiniband_openmpi_core
131072,320,14.91,8790.37,infiniband_openmpi_core
262144,160,13.76,19049.53,infiniband_openmpi_core
524288,80,24.75,21186.08,infiniband_openmpi_core
1048576,40,54.21,19344.16,infiniband_openmpi_core
2097152,20,142.94,14672.04,infiniband_openmpi_core
4194304,10,298.39,14056.36,infiniband_openmpi_core
8388608,5,853.28,9831.01,infiniband_openmpi_core
16777216,2,2256.8,7434.08,infiniband_openmpi_core
33554432,1,5194.27,6459.89,infiniband_openmpi_core
67108864,1,10360.09,6477.63,infiniband_openmpi_core
134217728,1,20844.0,6439.15,infiniband_openmpi_core
268435456,1,41583.75,6455.3,infiniband_openmpi_core
0,1000,5.17,0.0,gigabit_openmpi_core
1,1000,5.25,0.19,gigabit_openmpi_core
2,1000,5.23,0.38,gigabit_openmpi_core
4,1000,5.24,0.76,gigabit_openmpi_core
8,1000,5.24,1.53,gigabit_openmpi_core
16,1000,5.25,3.05,gigabit_openmpi_core
32,1000,5.22,6.12,gigabit_openmpi_core
64,1000,5.26,12.17,gigabit_openmpi_core
128,1000,5.33,24.04,gigabit_openmpi_core
256,1000,5.33,48.02,gigabit_openmpi_core
512,1000,5.37,95.26,gigabit_openmpi_core
1024,1000,5.91,173.33,gigabit_openmpi_core
2048,1000,5.84,350.64,gigabit_openmpi_core
4096,1000,6.65,615.69,gigabit_openmpi_core
8192,1000,7.11,1151.44,gigabit_openmpi_core
16384,1000,9.25,1771.22,gigabit_openmpi_core
32768,1000,14.84,2207.74,gigabit_openmpi_core
65536,640,29.38,2230.45,gigabit_openmpi_core
131072,320,41.44,3163.27,gigabit_openmpi_core
262144,160,60.1,4361.72,gigabit_openmpi_core
524288,80,93.09,5632.26,gigabit_openmpi_core
1048576,40,155.9,6725.75,gigabit_openmpi_core
2097152,20,285.13,7354.98,gigabit_openmpi_core
4194304,10,594.83,7051.24,gigabit_openmpi_core
8388608,5,1466.8,5718.97,gigabit_openmpi_core
16777216,2,3196.73,5248.24,gigabit_openmpi_core
33554432,1,6349.5,5284.58,gigabit_openmpi_core
67108864,1,12715.7,5277.64,gigabit_openmpi_core
134217728,1,25229.62,5319.85,gigabit_openmpi_core
268435456,1,50107.39,5357.2,gigabit_openmpi_core
0,1000,0.98,0.0,infiniband_openmpi_node
1,1000,0.98,1.02,infiniband_openmpi_node
2,1000,0.99,2.01,infiniband_openmpi_node
4,1000,0.99,4.04,infiniband_openmpi_node
8,1000,0.98,8.18,infiniband_openmpi_node
16,1000,0.98,16.25,infiniband_openmpi_node
32,1000,1.01,31.83,infiniband_openmpi_node
64,1000,1.14,56.15,infiniband_openmpi_node
128,1000,1.18,108.51,infiniband_openmpi_node
256,1000,1.42,180.33,infiniband_openmpi_node
512,1000,1.48,345.01,infiniband_openmpi_node
1024,1000,1.64,624.06,infiniband_openmpi_node
2048,1000,2.3,888.69,infiniband_openmpi_node
4096,1000,3.17,1290.66,infiniband_openmpi_node
8192,1000,4.44,1843.02,infiniband_openmpi_node
16384,1000,6.23,2629.75,infiniband_openmpi_node
32768,1000,8.38,3911.39,infiniband_openmpi_node
65536,640,12.26,5346.56,infiniband_openmpi_node
131072,320,18.43,7111.56,infiniband_openmpi_node
262144,160,32.73,8009.16,infiniband_openmpi_node
524288,80,54.27,9660.91,infiniband_openmpi_node
1048576,40,98.46,10649.37,infiniband_openmpi_node
2097152,20,182.16,11512.56,infiniband_openmpi_node
4194304,10,352.71,11891.76,infiniband_openmpi_node
8388608,5,692.02,12121.87,infiniband_openmpi_node
16777216,2,1382.34,12136.85,infiniband_openmpi_node
33554432,1,2758.2,12165.34,infiniband_openmpi_node
67108864,1,5509.35,12180.89,infiniband_openmpi_node
134217728,1,11046.1,12150.69,infiniband_openmpi_node
268435456,1,22079.4,12157.74,infiniband_openmpi_node
0,1000,0.43,0.0,infiniband_intel_socket
1,1000,0.43,2.32,infiniband_intel_socket
2,1000,0.43,4.64,infiniband_intel_socket
4,1000,0.44,9.13,infiniband_intel_socket
8,1000,0.44,18.36,infiniband_intel_socket
16,1000,0.43,37.12,infiniband_intel_socket
32,1000,0.47,68.24,infiniband_intel_socket
64,1000,0.47,135.9,infiniband_intel_socket
128,1000,0.58,222.05,infiniband_intel_socket
256,1000,0.61,419.16,infiniband_intel_socket
512,1000,0.82,621.11,infiniband_intel_socket
1024,1000,0.9,1136.15,infiniband_intel_socket
2048,1000,1.07,1913.75,infiniband_intel_socket
4096,1000,1.47,2780.01,infiniband_intel_socket
8192,1000,1.96,4171.34,infiniband_intel_socket
16384,1000,3.33,4913.94,infiniband_intel_socket
32768,1000,5.1,6422.29,infiniband_intel_socket
65536,640,9.44,6940.6,infiniband_intel_socket
131072,320,17.93,7311.45,infiniband_intel_socket
262144,160,34.35,7632.61,infiniband_intel_socket
524288,80,83.65,6267.61,infiniband_intel_socket
1048576,40,169.98,6168.84,infiniband_intel_socket
2097152,20,337.27,6218.05,infiniband_intel_socket
4194304,10,668.51,6274.1,infiniband_intel_socket
8388608,5,1386.16,6051.67,infiniband_intel_socket
16777216,2,3883.32,4320.33,infiniband_intel_socket
33554432,1,7939.31,4226.37,infiniband_intel_socket
67108864,1,15869.49,4228.8,infiniband_intel_socket
134217728,1,31850.9,4213.94,infiniband_intel_socket
268435456,1,63780.26,4208.75,infiniband_intel_socket
